epoch,train_loss,train_acc,val_acc,val_f1,val_precision,val_recall,is_best
1,0.7052,61.75,68.38,0.8122,0.6838,1.0000,1
2,0.6350,67.12,68.38,0.8122,0.6838,1.0000,0
3,0.6478,65.54,71.57,0.8269,0.7084,0.9928,1
4,0.6253,66.82,68.63,0.8134,0.6855,1.0000,0
5,0.6515,65.29,68.63,0.8134,0.6855,1.0000,0
6,0.6393,65.87,70.59,0.8160,0.7131,0.9534,0
7,0.6088,67.23,52.70,0.4881,0.9388,0.3297,0
8,0.6265,66.47,70.83,0.8242,0.7010,1.0000,0
9,0.6068,67.88,70.59,0.8230,0.6992,1.0000,0
10,0.5909,67.53,71.57,0.8237,0.7150,0.9713,0
11,0.5921,68.32,71.57,0.8237,0.7150,0.9713,0
12,0.5902,68.59,70.59,0.8230,0.6992,1.0000,0
13,0.5883,67.72,70.10,0.7724,0.8054,0.7419,0
14,0.5930,67.58,69.12,0.8158,0.6889,1.0000,0
15,0.6044,68.05,72.06,0.7920,0.8067,0.7778,0
16,0.5829,68.81,71.57,0.8248,0.7128,0.9785,0
17,0.5808,68.78,69.61,0.8182,0.6923,1.0000,0
18,0.5985,67.09,71.81,0.8195,0.7291,0.9355,0
19,0.5967,67.94,69.12,0.8158,0.6889,1.0000,0
20,0.5874,68.29,70.83,0.8183,0.7128,0.9606,0
21,0.5720,69.55,71.57,0.8253,0.7117,0.9821,0
22,0.5728,69.27,73.53,0.8235,0.7568,0.9032,0
23,0.5773,69.33,70.59,0.8230,0.6992,1.0000,0
24,0.5682,70.09,71.57,0.8253,0.7117,0.9821,0
25,0.5822,68.51,71.81,0.8223,0.7228,0.9534,0
26,0.5758,69.11,70.59,0.8230,0.6992,1.0000,0
27,0.5737,69.66,62.75,0.6696,0.8508,0.5520,0
28,0.5768,69.98,71.57,0.8237,0.7150,0.9713,0
29,0.5706,69.71,71.57,0.8232,0.7162,0.9677,0
30,0.5735,70.17,73.77,0.8288,0.7486,0.9283,1
31,0.5738,69.66,71.81,0.8244,0.7181,0.9677,0
32,0.5698,69.63,71.57,0.7844,0.8147,0.7563,0
33,0.5802,69.06,71.32,0.8256,0.7066,0.9928,0
34,0.5675,69.79,74.26,0.8320,0.7514,0.9319,1
35,0.5773,69.93,73.77,0.8299,0.7457,0.9355,0
36,0.5689,69.66,73.04,0.8276,0.7354,0.9462,0
37,0.5616,70.58,73.28,0.8216,0.7560,0.8996,0
38,0.5547,71.32,71.81,0.8260,0.7147,0.9785,0
39,0.5597,70.56,72.55,0.8272,0.7263,0.9606,0
40,0.5670,70.26,72.06,0.7942,0.8000,0.7885,0
41,0.5829,69.66,73.28,0.8216,0.7560,0.8996,0
42,0.5711,70.67,73.53,0.8264,0.7493,0.9211,0
43,0.5623,69.71,71.32,0.8246,0.7088,0.9857,0
44,0.5529,71.32,73.53,0.8318,0.7355,0.9570,0
45,0.5650,69.25,75.74,0.8331,0.7866,0.8853,1
46,0.5566,71.13,72.55,0.8277,0.7251,0.9642,0
47,0.5589,70.72,72.06,0.8262,0.7188,0.9713,0
48,0.5581,70.75,73.77,0.8293,0.7471,0.9319,0
49,0.5545,70.91,71.32,0.7837,0.8092,0.7599,0
50,0.5680,69.77,75.25,0.8314,0.7781,0.8925,0
51,0.5527,71.32,72.06,0.8262,0.7188,0.9713,0
52,0.5587,70.58,70.34,0.8213,0.6985,0.9964,0
53,0.5628,70.39,65.93,0.7036,0.8684,0.5914,0
54,0.5623,70.75,71.32,0.8246,0.7088,0.9857,0
55,0.5560,71.18,71.57,0.8258,0.7106,0.9857,0
56,0.5457,72.30,75.25,0.8285,0.7871,0.8746,0
57,0.5414,72.11,73.53,0.8291,0.7422,0.9391,0
58,0.5463,71.40,72.06,0.8262,0.7188,0.9713,0
59,0.5499,70.91,72.79,0.8284,0.7283,0.9606,0
60,0.5498,71.62,72.06,0.8262,0.7188,0.9713,0
61,0.5557,71.02,72.30,0.8275,0.7207,0.9713,0
62,0.5538,71.21,74.26,0.8287,0.7605,0.9104,0
63,0.5444,71.86,74.51,0.8219,0.7869,0.8602,0
64,0.5478,71.48,73.77,0.8099,0.8028,0.8172,0
65,0.5502,71.43,72.30,0.8275,0.7207,0.9713,0
66,0.5414,71.89,73.04,0.8297,0.7302,0.9606,0
67,0.5461,71.62,73.77,0.8293,0.7471,0.9319,0
68,0.5470,72.14,72.30,0.8275,0.7207,0.9713,0
69,0.5535,70.94,74.26,0.8346,0.7444,0.9498,1
70,0.5424,72.27,71.57,0.8253,0.7117,0.9821,0
71,0.5382,72.27,71.81,0.8276,0.7113,0.9892,0
72,0.5446,72.16,74.26,0.8304,0.7559,0.9211,0
73,0.5418,72.52,73.53,0.8138,0.7841,0.8459,0
74,0.5436,72.06,73.77,0.8283,0.7500,0.9247,0
75,0.5398,72.52,72.06,0.8262,0.7188,0.9713,0
76,0.5468,71.73,73.53,0.8323,0.7342,0.9606,0
