epoch,train_loss,train_acc,val_acc,val_f1,val_precision,val_recall,is_best
1,0.6009,65.38,67.23,0.4355,0.5953,0.3433,1
2,0.5699,68.22,68.37,0.4756,0.6104,0.3896,1
3,0.5629,68.90,69.37,0.5495,0.5993,0.5072,1
4,0.5597,69.28,69.72,0.5588,0.6027,0.5209,1
5,0.5583,69.39,68.61,0.4459,0.6367,0.3430,0
6,0.5573,69.48,69.74,0.5852,0.5907,0.5797,1
7,0.5564,69.61,68.35,0.4177,0.6472,0.3084,0
8,0.5562,69.60,69.05,0.4681,0.6371,0.3700,0
9,0.5559,69.60,68.96,0.6309,0.5611,0.7207,1
10,0.5558,69.68,69.82,0.5889,0.5907,0.5872,0
