epoch,train_loss,train_acc,val_acc,is_best
1,0.6858,58.59,55.73,1
2,0.6532,61.46,58.26,1
3,0.6495,61.87,53.10,0
4,0.6474,62.09,57.11,0
5,0.6487,62.13,60.44,1
6,0.6474,62.11,57.11,0
7,0.6479,62.11,56.77,0
8,0.6483,62.11,61.12,1
9,0.6478,62.12,53.78,0
10,0.6484,62.06,59.63,0
11,0.6474,62.23,56.42,0
12,0.6489,62.15,57.91,0
13,0.6484,62.13,57.11,0
14,0.6489,62.03,58.03,0
15,0.6474,62.04,64.11,1
16,0.6467,62.20,63.53,0
17,0.6484,62.01,56.54,0
18,0.6487,61.92,56.08,0
19,0.6469,62.17,61.93,0
20,0.6475,62.19,64.56,1
