epoch,train_accuracy,val_accuracy
1,39.76,59.11
2,59.4,64.46
3,63.55,63.51
4,66.06,67.63
5,67.62,69.7
6,68.49,68.47
7,69.34,70.83
8,70.07,71.0
9,70.33,71.18
10,70.61,71.71
11,71.05,69.14
12,71.37,72.26
13,71.56,71.83
14,71.74,72.33
15,72.11,72.59
16,72.16,71.83
17,72.33,73.0
18,72.46,72.87
19,72.72,71.25
20,72.64,71.99
21,72.93,73.64
22,72.88,73.05
23,73.06,72.91
24,73.17,73.61
25,73.09,73.7
26,73.27,73.93
27,73.29,73.32
28,73.33,71.28
29,73.3,74.14
30,73.44,74.28
31,73.48,73.37
32,73.44,74.24
33,73.57,73.33
34,73.59,74.79
35,73.78,74.41
36,73.76,74.72
37,73.92,74.99
38,73.75,72.53
39,73.97,73.82
40,73.72,74.61
41,73.9,74.62
42,73.84,74.12
43,73.91,73.71
44,74.07,75.01
45,73.93,75.21
46,74.03,74.63
47,74.01,74.68
48,73.96,74.76
49,73.89,75.09
50,73.97,75.41
51,74.02,74.03
52,74.1,74.29
53,73.97,74.11
54,74.03,74.8
55,74.18,75.04
56,74.08,74.82
57,74.27,75.21
58,74.13,75.24
59,74.04,74.61
60,73.97,74.99
61,74.08,74.84
62,74.11,73.96
63,74.1,73.47
64,74.06,74.33
65,74.13,74.87
66,74.15,74.14
67,74.14,71.28
68,74.15,75.26
69,74.17,74.76
70,74.26,74.51
71,74.21,74.74
72,74.19,74.45
73,74.23,74.99
74,74.24,74.63
75,74.07,75.26
76,74.21,74.86
77,74.2,75.25
78,74.13,75.29
79,74.22,74.29
80,74.2,74.72
81,74.23,74.97
82,74.35,74.3
83,74.24,74.62
84,74.19,75.59
85,74.26,74.53
86,74.16,75.55
87,74.14,74.47
88,74.19,74.57
89,74.24,74.97
90,74.33,74.84
