epoch,train_loss,train_acc,val_acc,is_best
1,1.4020,25.28,25.00,1
2,1.4010,25.34,25.00,0
3,1.4006,25.26,25.72,1
4,1.4019,25.28,25.17,0
5,1.4001,25.39,25.00,0
6,1.4006,25.65,25.47,0
7,1.4003,25.35,26.38,1
8,1.3999,25.60,25.80,0
9,1.4001,25.23,25.83,0
10,1.4009,25.54,25.66,0
11,1.3994,25.50,22.86,0
12,1.4000,25.54,25.70,0
13,1.4005,25.66,25.32,0
14,1.4004,25.34,24.91,0
15,1.3994,25.56,25.13,0
16,1.4000,25.46,25.57,0
17,1.3990,25.60,25.33,0
18,1.3988,25.71,24.89,0
19,1.3987,25.59,25.34,0
20,1.4003,25.80,25.79,0
