epoch,train_loss,train_acc,val_acc,val_f1_macro,is_best
1,1.0688,42.43,45.25,0.4195,1
2,1.0289,47.39,47.93,0.4792,1
3,1.0153,48.91,48.80,0.4814,1
4,1.0078,49.75,47.42,0.4680,0
5,1.0031,50.14,48.23,0.4807,0
6,1.0000,50.46,49.75,0.4933,1
7,0.9970,50.83,50.18,0.4966,1
8,0.9950,51.01,50.45,0.5009,1
9,0.9931,51.20,49.80,0.4981,0
10,0.9920,51.27,50.16,0.4899,0
11,0.9907,51.39,50.82,0.5064,1
12,0.9895,51.41,49.33,0.4773,0
13,0.9889,51.55,50.70,0.5024,0
14,0.9884,51.65,49.76,0.4976,0
15,0.9875,51.70,50.01,0.4956,0
