epoch,train_loss,train_acc,val_acc,is_best
1,0.6730,58.53,60.09,1
2,0.6445,62.43,56.88,0
3,0.6354,63.44,63.76,1
4,0.6313,64.26,57.57,0
5,0.6285,64.54,65.60,1
6,0.6247,65.02,65.60,0
7,0.6231,65.28,66.51,1
8,0.6220,65.22,65.60,0
9,0.6211,65.31,65.48,0
10,0.6193,65.68,65.48,0
11,0.6187,65.70,61.24,0
12,0.6183,65.48,61.93,0
13,0.6176,65.65,65.14,0
14,0.6170,65.83,65.94,0
15,0.6165,65.75,66.74,1
16,0.6151,66.05,66.17,0
17,0.6153,65.94,66.63,0
18,0.6157,65.85,66.51,0
19,0.6142,66.17,67.32,1
20,0.6143,66.00,65.37,0
21,0.6142,65.98,65.83,0
22,0.6140,66.18,65.37,0
23,0.6143,66.05,63.76,0
24,0.6147,65.86,65.71,0
25,0.6136,66.05,62.16,0
26,0.6144,66.02,63.99,0
27,0.6133,66.21,65.48,0
28,0.6139,66.05,67.20,0
29,0.6143,66.22,66.40,0
30,0.6137,66.08,67.09,0
31,0.6133,66.17,64.79,0
32,0.6137,66.09,65.02,0
33,0.6143,65.93,67.32,0
34,0.6132,66.23,66.74,0
35,0.6130,66.30,65.14,0
36,0.6127,66.31,66.40,0
37,0.6134,66.16,65.83,0
38,0.6129,66.15,66.97,0
39,0.6128,66.33,65.37,0
40,0.6133,66.22,67.43,1
41,0.6127,66.27,66.63,0
42,0.6127,66.25,65.14,0
43,0.6128,66.37,66.97,0
44,0.6135,66.04,66.17,0
45,0.6131,66.01,66.17,0
46,0.6126,66.31,65.48,0
47,0.6127,66.28,66.74,0
48,0.6132,66.13,65.83,0
49,0.6129,66.17,66.74,0
50,0.6129,66.15,65.48,0
51,0.6131,66.05,67.32,0
52,0.6137,66.13,60.67,0
53,0.6126,66.16,63.88,0
54,0.6126,66.21,62.50,0
55,0.6130,66.31,67.32,0
56,0.6131,66.34,66.40,0
57,0.6129,66.26,66.40,0
58,0.6144,66.09,67.55,1
59,0.6133,66.11,66.51,0
60,0.6127,66.19,66.74,0
61,0.6143,66.06,66.40,0
62,0.6133,65.99,66.63,0
63,0.6127,66.27,65.94,0
64,0.6136,66.10,65.94,0
65,0.6129,66.30,65.37,0
66,0.6126,66.26,66.63,0
67,0.6139,66.13,63.76,0
68,0.6130,66.21,67.09,0
69,0.6131,66.08,66.97,0
70,0.6136,66.14,63.07,0
71,0.6138,66.12,64.68,0
72,0.6133,66.18,65.83,0
73,0.6133,66.14,63.65,0
74,0.6138,66.10,60.09,0
75,0.6132,66.08,67.32,0
76,0.6134,66.14,60.78,0
77,0.6134,66.08,66.74,0
78,0.6126,66.14,67.20,0
79,0.6133,66.20,66.74,0
80,0.6135,66.09,66.97,0
81,0.6135,66.25,65.25,0
82,0.6128,66.28,67.20,0
83,0.6128,66.34,66.74,0
84,0.6131,66.35,65.83,0
85,0.6135,66.12,67.09,0
86,0.6131,66.12,65.60,0
87,0.6133,66.25,66.86,0
88,0.6139,65.91,66.40,0
89,0.6134,66.12,66.97,0
90,0.6138,65.99,66.86,0
