epoch,train_loss,train_acc,val_acc,val_f1_macro,is_best
1,1.0733,41.84,46.54,0.4611,1
2,1.0299,47.39,47.34,0.4464,1
3,1.0147,49.04,48.73,0.4692,1
4,1.0063,49.95,49.07,0.4900,1
5,1.0011,50.51,50.12,0.4973,1
6,0.9977,50.85,49.49,0.4924,0
7,0.9947,51.14,50.24,0.4938,1
8,0.9926,51.24,50.39,0.4943,1
9,0.9911,51.34,50.64,0.4988,1
10,0.9894,51.57,50.67,0.5059,1
11,0.9886,51.64,50.68,0.5024,1
12,0.9876,51.68,50.85,0.5066,1
13,0.9865,51.82,51.03,0.5064,1
14,0.9861,51.80,50.04,0.4973,0
15,0.9853,51.93,51.36,0.5134,1
