epoch,train_loss,train_acc,val_acc,val_f1,val_precision,val_recall,is_best
1,0.7158,62.24,68.38,0.8122,0.6838,1.0000,1
2,0.6533,65.02,68.38,0.8122,0.6838,1.0000,0
3,0.6373,66.77,68.38,0.8122,0.6838,1.0000,0
4,0.6331,66.71,69.36,0.8132,0.6974,0.9749,1
5,0.6539,65.16,68.87,0.7901,0.7331,0.8566,0
6,0.6224,67.53,68.38,0.8122,0.6838,1.0000,0
7,0.6174,67.26,67.89,0.7884,0.7176,0.8746,0
8,0.6625,64.42,69.36,0.8137,0.6964,0.9785,1
9,0.6079,68.05,68.63,0.8107,0.6902,0.9821,0
10,0.6014,67.99,69.12,0.8142,0.6917,0.9892,1
11,0.5998,67.67,69.12,0.8142,0.6917,0.9892,0
12,0.6174,66.44,69.36,0.8159,0.6925,0.9928,1
13,0.6113,66.98,69.61,0.8104,0.7067,0.9498,0
14,0.5942,68.57,69.36,0.7934,0.7362,0.8602,0
15,0.6006,67.78,67.89,0.7436,0.8190,0.6810,0
16,0.6014,68.10,65.69,0.6943,0.8883,0.5699,0
17,0.6119,66.96,70.34,0.7980,0.7469,0.8566,0
18,0.6264,66.06,68.38,0.8122,0.6838,1.0000,0
19,0.6023,68.05,69.85,0.8099,0.7120,0.9391,0
20,0.5959,67.88,68.87,0.8141,0.6881,0.9964,0
21,0.6024,68.05,69.12,0.8000,0.7179,0.9032,0
22,0.5833,68.62,68.87,0.8141,0.6881,0.9964,0
23,0.6033,67.78,69.36,0.8143,0.6954,0.9821,0
24,0.5823,68.76,69.61,0.8050,0.7171,0.9176,0
25,0.5790,69.03,68.87,0.8141,0.6881,0.9964,0
26,0.5856,69.11,72.06,0.8094,0.7586,0.8674,0
27,0.5802,69.03,70.59,0.8142,0.7166,0.9427,0
28,0.5745,68.92,69.61,0.8149,0.6982,0.9785,0
29,0.5742,69.22,70.10,0.8157,0.7050,0.9677,0
30,0.5918,68.54,69.61,0.8144,0.6992,0.9749,0
31,0.5724,69.82,69.61,0.8144,0.6992,0.9749,0
32,0.5701,69.55,71.08,0.8109,0.7333,0.9068,0
33,0.5839,68.87,69.61,0.8144,0.6992,0.9749,0
34,0.5852,68.70,70.83,0.8108,0.7286,0.9140,0
35,0.5863,68.65,70.59,0.8089,0.7278,0.9104,0
36,0.5715,68.65,69.85,0.8150,0.7021,0.9713,0
37,0.5766,69.77,70.59,0.8107,0.7239,0.9211,0
38,0.5656,69.08,71.08,0.8162,0.7218,0.9391,1
39,0.5710,69.85,71.57,0.7914,0.7942,0.7885,0
40,0.5741,69.71,71.57,0.8147,0.7349,0.9140,0
41,0.5680,69.71,71.08,0.8190,0.7158,0.9570,1
42,0.5818,69.27,71.08,0.8156,0.7230,0.9355,0
43,0.5656,70.50,69.85,0.8172,0.6980,0.9857,0
44,0.5619,69.93,71.57,0.7828,0.8196,0.7491,0
45,0.5642,70.42,71.57,0.8147,0.7349,0.9140,0
46,0.5656,69.90,71.32,0.8203,0.7177,0.9570,1
47,0.5771,69.38,71.08,0.8156,0.7230,0.9355,0
48,0.5718,69.11,73.04,0.8208,0.7522,0.9032,1
49,0.5896,69.55,71.32,0.8214,0.7154,0.9642,1
50,0.5611,70.04,73.28,0.8233,0.7515,0.9104,1
51,0.5589,71.05,69.12,0.8147,0.6908,0.9928,0
52,0.5529,71.24,70.83,0.8149,0.7198,0.9391,0
53,0.5562,71.13,69.85,0.8178,0.6970,0.9892,0
54,0.5595,70.99,73.04,0.8237,0.7449,0.9211,1
55,0.5599,70.86,69.85,0.8178,0.6970,0.9892,0
56,0.5688,71.07,71.57,0.7860,0.8099,0.7634,0
57,0.5553,71.32,71.32,0.8225,0.7132,0.9713,0
58,0.5646,70.61,71.32,0.8208,0.7166,0.9606,0
59,0.5645,70.37,73.53,0.8188,0.7697,0.8746,0
60,0.5609,70.56,71.32,0.8208,0.7166,0.9606,0
61,0.5606,70.12,72.55,0.8182,0.7478,0.9032,0
62,0.5571,70.91,71.32,0.8225,0.7132,0.9713,0
63,0.5591,70.69,71.32,0.8225,0.7132,0.9713,0
64,0.5514,71.13,71.57,0.8221,0.7185,0.9606,0
65,0.5464,71.76,73.04,0.8063,0.7924,0.8208,0
66,0.5517,71.84,71.57,0.8242,0.7139,0.9749,1
67,0.5671,70.23,71.81,0.8239,0.7193,0.9642,0
68,0.5480,71.51,72.55,0.8182,0.7478,0.9032,0
69,0.5507,71.21,72.79,0.8246,0.7373,0.9355,1
70,0.5497,71.18,74.26,0.8193,0.7881,0.8530,0
71,0.5507,71.59,72.79,0.7993,0.8066,0.7921,0
72,0.5522,70.99,69.61,0.8166,0.6952,0.9892,0
73,0.5500,71.67,72.55,0.8239,0.7339,0.9391,0
74,0.5478,71.73,72.55,0.7978,0.8036,0.7921,0
75,0.5536,71.26,70.83,0.8149,0.7198,0.9391,0
76,0.5421,71.43,71.08,0.8173,0.7193,0.9462,0
77,0.5440,71.81,69.85,0.8172,0.6980,0.9857,0
78,0.5424,71.84,73.28,0.8273,0.7415,0.9355,1
79,0.5453,71.78,71.81,0.8260,0.7147,0.9785,0
80,0.5440,71.65,73.53,0.8235,0.7568,0.9032,0
81,0.5480,71.70,73.77,0.8133,0.7925,0.8351,0
82,0.5570,70.88,71.08,0.8228,0.7080,0.9821,0
83,0.5405,72.82,73.53,0.8065,0.8065,0.8065,0
84,0.5395,72.30,72.30,0.8226,0.7318,0.9391,0
85,0.5408,71.89,73.28,0.8228,0.7530,0.9068,0
86,0.5461,71.67,72.79,0.8207,0.7471,0.9104,0
87,0.5451,71.97,71.81,0.8244,0.7181,0.9677,0
88,0.5447,72.33,73.53,0.8163,0.7767,0.8602,0
89,0.5395,72.33,73.53,0.8224,0.7599,0.8961,0
90,0.5407,72.03,73.28,0.8273,0.7415,0.9355,0
