epoch,train_loss,train_acc,val_acc,is_best
1,0.6758,57.82,53.78,1
2,0.6493,61.59,62.73,1
3,0.6390,63.00,60.32,0
4,0.6333,63.71,65.94,1
5,0.6298,64.10,65.71,0
6,0.6281,64.36,65.48,0
7,0.6258,64.54,67.55,1
8,0.6236,64.86,66.86,0
9,0.6232,64.88,66.28,0
10,0.6222,64.94,64.79,0
11,0.6208,65.04,66.28,0
12,0.6210,64.97,67.66,1
13,0.6200,65.14,67.09,0
14,0.6189,65.24,64.33,0
15,0.6189,65.33,67.32,0
16,0.6183,65.41,63.30,0
17,0.6188,65.08,66.17,0
18,0.6188,65.19,67.09,0
19,0.6181,65.34,67.43,0
20,0.6176,65.34,65.94,0
21,0.6173,65.46,67.43,0
22,0.6177,65.30,66.97,0
23,0.6173,65.36,66.51,0
24,0.6174,65.53,66.97,0
25,0.6178,65.35,67.55,0
26,0.6168,65.44,67.55,0
27,0.6166,65.52,66.63,0
28,0.6170,65.59,67.89,1
29,0.6163,65.60,67.20,0
30,0.6168,65.55,66.86,0
31,0.6166,65.48,67.89,0
32,0.6168,65.45,66.74,0
33,0.6167,65.57,63.88,0
34,0.6164,65.49,61.12,0
35,0.6160,65.48,66.63,0
36,0.6158,65.65,66.86,0
37,0.6157,65.37,68.23,1
38,0.6164,65.40,66.17,0
39,0.6161,65.61,66.97,0
40,0.6166,65.55,63.65,0
41,0.6158,65.51,67.66,0
42,0.6159,65.50,65.37,0
43,0.6160,65.57,67.66,0
44,0.6163,65.74,67.32,0
45,0.6158,65.58,67.32,0
46,0.6157,65.46,65.37,0
47,0.6159,65.68,64.68,0
48,0.6162,65.41,67.55,0
49,0.6159,65.48,60.09,0
50,0.6164,65.41,67.78,0
51,0.6161,65.57,67.43,0
52,0.6154,65.61,66.40,0
53,0.6160,65.58,68.35,1
54,0.6159,65.39,68.00,0
55,0.6158,65.64,67.66,0
56,0.6165,65.61,66.17,0
57,0.6159,65.58,64.56,0
58,0.6158,65.45,67.89,0
59,0.6156,65.56,67.66,0
60,0.6157,65.44,66.74,0
61,0.6156,65.78,66.40,0
62,0.6156,65.61,65.02,0
63,0.6164,65.48,65.83,0
64,0.6156,65.79,67.89,0
65,0.6162,65.63,60.78,0
66,0.6158,65.64,66.86,0
67,0.6159,65.49,66.28,0
68,0.6160,65.38,67.43,0
69,0.6157,65.78,67.43,0
70,0.6154,65.70,67.43,0
71,0.6152,65.69,67.66,0
72,0.6160,65.49,66.63,0
73,0.6157,65.64,65.60,0
74,0.6153,65.66,68.23,0
75,0.6165,65.58,67.78,0
76,0.6156,65.62,68.12,0
77,0.6158,65.49,66.06,0
78,0.6154,65.58,67.20,0
79,0.6163,65.48,67.09,0
80,0.6159,65.49,68.23,0
81,0.6159,65.66,67.89,0
82,0.6156,65.59,68.69,1
83,0.6157,65.70,68.23,0
84,0.6164,65.57,68.23,0
85,0.6159,65.57,65.14,0
86,0.6162,65.52,66.74,0
87,0.6154,65.68,68.00,0
88,0.6159,65.66,66.06,0
89,0.6151,65.67,66.86,0
90,0.6156,65.61,66.97,0
